SubmissionDate,start,end,Enumerator,agf,localname,genus,species,newspecies,dbh,height,canopyd,latitude,longitude,altitude,accuracy,key,genus_species,height_m,genusCorr,speciesCorr,meanWD,sdWD,family,AGB
52:12.4,58:22.4,48:18.6,juliet_onditi,natural_forest_agroforestry,Acacia,acacia,nilotica,no,6,300,8,-3.0970312,39.650587,66.285,1.463,uuid:7d8a8fea-2b62-4938-8de3-0df2dd09e797,Acacia nilotica,3,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,4.735338235
51:15.6,45:06.2,30:19.8,henry_oindi,natural_forest_agroforestry,Umbrella thorn,acacia,tortilis,no,48,800,600,-1.5588389,39.2562564,190.497,3.9,uuid:1577526f-b6dc-40a2-9bf4-833a121b189c,Acacia tortilis,8,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,776.4841761
43:48.1,08:21.3,10:00.8,sarah_mwangi,pasture_agroforestry,Acacia,acacia,mellifera,no,20,180,80,-4.0006117,39.3975765,185.526,1.523,uuid:148ed457-bb2d-4b27-ab1b-e91799a268db,Acacia mellifera,1.8,Acacia,mellifera,0.947,0.070823262,Fabaceae,39.23640062
42:17.2,02:10.3,04:14.5,henry_oindi,pasture_agroforestry,Acacia,acacia,nilotica,no,32,540,260,-3.9995657,39.3984427,182.795,2.141,uuid:821a0dc3-965d-42ce-8fb7-6d1e9e71334b,Acacia nilotica,5.4,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,220.5964337
22:15.1,20:25.8,25:37.0,henry_oindi,pasture_agroforestry,Acacia,acacia,tortilis,no,36,1300,600,-4.0003982,39.3985974,190.972,1.893,uuid:5c82488a-f495-48f0-a77c-e9e3abbc0a02,Acacia tortilis,13,Acacia,tortilis,0.78783128,0.09413391,Fabaceae,711.2873425
20:34.0,04:37.0,05:39.7,henry_oindi,pasture_agroforestry,Acacia,acacia,nilotica,no,13,450,200,-3.9996008,39.3985359,160.317,1.592,uuid:5fa2714f-ade3-4baa-81e2-304116b54c29,Acacia nilotica,4.5,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,31.81868718
03:59.3,58:25.4,01:28.6,henry_oindi,pasture_agroforestry,Acacia,acacia,nilotica,no,6,180,40,-3.9996008,39.3984232,147.096,2.293,uuid:16719de0-2891-4dc4-a6c8-e87816c28ffd,Acacia nilotica,1.8,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,2.87624996
03:21.5,56:32.0,58:22.1,henry_oindi,pasture_agroforestry,Acacia,acacia,nilotica,no,48,730,400,-3.9997049,39.3982666,181.846,2.316,uuid:7d1a35af-8341-473a-b873-e2a6e6350ef9,Acacia nilotica,7.3,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,653.3041646
01:12.6,11:00.0,22:18.5,juliet_onditi,cropland_agroforestry,Acacia,acacia,nilotica,no,4,220,4,-3.9781507,39.4608079,154.648,1.362,uuid:4bfdc007-0d5d-4e54-abe9-5370621b3bf3,Acacia nilotica,2.2,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,1.58545916
55:14.7,47:23.4,49:17.8,david_makori,pasture_agroforestry,Acacia,acacia,nilotica,no,23,310,280,-3.9211837,39.6681975,46.521,2.078,uuid:759c4084-981f-442b-9b3e-017d5d335aa9,Acacia nilotica,3.1,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,67.35830793
55:09.8,42:40.3,44:46.1,david_makori,pasture_agroforestry,Acacia,acacia,nilotica,no,45,430,390,-3.9214243,39.6680914,45.714,1.03,uuid:dfb2b291-30b2-4f24-a469-a3a3dce26635,Acacia nilotica,4.3,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,343.6097349
29:03.1,40:50.2,42:37.7,david_makori,pasture_agroforestry,Acacia,acacia,nilotica,no,19,280,190,-3.9218062,39.6680385,44.68,0.846,uuid:34a5ac1a-32da-4baa-b720-be675a0b11cc,Acacia nilotica,2.8,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,42.00322991
28:59.4,39:00.1,40:47.2,david_makori,pasture_agroforestry,Acacia,acacia,nilotica,no,21,310,240,-3.9217691,39.668019,46.752,1.253,uuid:246106ce-3eb2-4f01-933c-462ed61b9241,Acacia nilotica,3.1,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,56.39888217
28:48.8,21:46.4,23:24.3,david_makori,pasture_agroforestry,Acacia,acacia,nilotica,no,38,680,520,-3.9221109,39.6686863,33.58,1.15,uuid:b2b5e43b-e6bb-413d-8cf0-9a88676390e1,Acacia nilotica,6.8,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,386.3631509
59:45.9,49:01.1,50:48.6,sarah_mwangi,pasture_agroforestry,Acacia,acacia,nilotica,no,35,350,450,-3.9214239,39.6682792,25.075,0.988,uuid:477b2530-4174-467b-8643-a125c0c54f43,Acacia nilotica,3.5,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,172.0919888
59:25.8,35:00.9,37:38.5,juliet_onditi,cropland_agroforestry,Acacia,acacia,nilotica,no,3,155,3,-3.9217393,39.6683386,32.595,1.917,uuid:26b9223d-7a9f-4fe1-9f44-bce5a123d550,Acacia nilotica,1.55,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,0.642441883
59:23.7,46:46.1,48:58.2,sarah_mwangi,cropland_agroforestry,Acacia,acacia,nilotica,no,30,180,150,-3.921544,39.6680699,40.631,1.28,uuid:8b3ece50-21fd-441e-801f-782e298ce2ab,Acacia nilotica,1.8,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,66.56042312
59:17.0,44:59.8,46:15.3,sarah_mwangi,cropland_agroforestry,Acacia,acacia,nilotica,no,30,190,200,-3.9215494,39.6680875,41.006,1.639,uuid:b09b11e2-7e7a-411d-88d9-7d1517301b56,Acacia nilotica,1.9,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,70.16711552
59:13.1,42:35.4,44:57.9,sarah_mwangi,cropland_agroforestry,Acacia,acacia,nilotica,no,45,200,230,-3.9216502,39.6681001,38.264,0.976,uuid:ef6cf9d1-0f21-415d-8d02-fc5f6fd008d4,Acacia nilotica,2,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,162.7816786
58:41.2,36:03.7,39:54.1,sarah_mwangi,pasture_agroforestry,Acacia,acacia,nilotica,no,35,150,128,-3.9482121,39.6858208,-1.446,4.966,uuid:57d83dc3-7153-41a0-8017-3632ecc20d5c,Acacia nilotica,1.5,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,75.2688553
58:35.9,34:42.4,35:59.2,sarah_mwangi,pasture_agroforestry,Acacia,acacia,nilotica,no,30,190,110,-3.9484849,39.6849253,9.066,4.879,uuid:99cb1cbb-9559-432f-8cb4-be9c314aeb11,Acacia nilotica,1.9,Acacia,nilotica,0.723333333,0.070823262,Fabaceae,70.16711552
