FID,start,Enumerator,Type_of_ag,Polygon_No,Transects,plant_name,plant_na_1,plant_na_2,is_it_new_,plant_DBH,plant_me_Height,plant_me_Canopy,photo_Whol,photo_Cano,photo_Flow,photo_Frui,photo_Trun,external_g,gps_Latitu,gps_Longit,gps_Altitu,gps_Accura,comments,meta_insta,SubmitterI,SubmitterN,Attachment
6105,2024-10-10T13:11:45.336+03:00,david_makori,pasture_agroforestry,172,1,Acacia,Acacia,tortilis,no,45,1050,1650,1728556202801.jpg,1728556225297.jpg,1728556236739.jpg,1728556245129.jpg,1728556257043.jpg, ,-0.6924214,35.0943193,1764.2,4.583, ,uuid:b51be1c1-7178-4229-a037-6269ceb56bdb,616,Lacuna Data Collectors,5
6126,2024-10-10T17:48:18.166+03:00,david_makori,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,145,1250,850,1728571785476.jpg,1728571800506.jpg,1728571812068.jpg,1728571820441.jpg,1728571838143.jpg, ,-0.9165598,35.1084341,1770.3,4.66, ,uuid:8c39eaeb-b0d3-4fd8-b801-1b632b40b83a,616,Lacuna Data Collectors,5
6065,2024-10-12T11:49:31.514+03:00,david_makori,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,35,650,850,1728723087697.jpg,1728723098738.jpg,1728723111728.jpg,1728723122911.jpg,1728723144134.jpg, ,-1.1067244,35.893692,1941.8,4.42, ,uuid:2563f024-41b1-48e4-a0ef-41bbe76cde26,616,Lacuna Data Collectors,5
1115,2024-08-23T13:44:11.281+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,25,1200,850,1724409901708.jpg,1724409909618.jpg,1724409922820.jpg,1724409930068.jpg,1724409936376.jpg, ,-0.0808289,36.6310591,2157.6,4.48, ,uuid:4e60b02c-e4a1-4272-9176-eddfab6bcd16,616,Lacuna Data Collectors,5
1111,2024-08-23T13:33:47.356+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,30,1000,750,1724409277705.jpg,1724409288558.jpg,1724409305681.jpg,1724409325285.jpg,1724409336191.jpg, ,-0.080017,36.6312689,2157.9,4.86,pasture agroforestry,uuid:698e1505-ca7a-4195-95e1-8acdcc07b8dd,616,Lacuna Data Collectors,5
6096,2024-10-12T12:00:19.622+03:00,henry_oindi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,38,600,700,1728723691713.jpg,1728723699402.jpg,1728723708867.jpg,1728723714692.jpg,1728723722623.jpg, ,-1.1066786,35.8935183,1917,4.3, ,uuid:157e5081-bcdc-4a9b-a910-177e82bb3aea,616,Lacuna Data Collectors,5
6125,2024-10-10T17:51:04.093+03:00,david_makori,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,125,1150,650,1728571941706.jpg,1728571992197.jpg,1728571999559.jpg,1728572019687.jpg,1728572026060.jpg, ,-0.916071,35.1084179,1770.3,4.88, ,uuid:b6eba3a9-969f-4788-ab36-7e9e2668d6fa,616,Lacuna Data Collectors,5
1114,2024-08-23T13:41:13.705+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,20,1000,650,1724409749781.jpg,1724409758591.jpg,1724409784961.jpg,1724409796012.jpg,1724409804022.jpg, ,-0.0801839,36.6312488,2157.4,4.966, ,uuid:8c7c2e54-154b-4dcd-9991-09924d86b2c2,616,Lacuna Data Collectors,5
6089,2024-10-12T12:05:27.321+03:00,henry_oindi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,54,580,630,1728723968893.jpg,1728723976403.jpg,1728723987657.jpg,1728723999220.jpg,1728724008097.jpg, ,-1.1065422,35.8933134,1918.5,3.76, ,uuid:7fa15f7d-458d-440a-bb1a-a41dac47d815,616,Lacuna Data Collectors,5
1110,2024-08-23T13:29:46.150+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,25,900,600,1724409120653.jpg,1724409129556.jpg,1724409145241.jpg,1724409152665.jpg,1724409161522.jpg, ,-0.079764,36.6313907,2157.9,4.9,pasture agroforestry,uuid:e8905833-30af-4f38-8b2e-8f80456ce794,616,Lacuna Data Collectors,5
1117,2024-08-23T13:49:33.154+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,20,600,600,1724410210352.jpg,1724410218271.jpg,1724410228304.jpg,1724410238690.jpg,1724410247976.jpg, ,-0.0814992,36.6309881,2158.3,4.76,.,uuid:9efa2629-821f-4bd7-b2ca-28956dd86641,616,Lacuna Data Collectors,5
1112,2024-08-23T13:36:23.618+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,15,800,600,1724409434835.jpg,1724409445914.jpg,1724409458472.jpg,1724409467839.jpg,1724409478996.jpg, ,-0.0800024,36.6313591,2157.6,4.8, ,uuid:9739600b-ede5-476f-8d2a-48cc15a5d3c1,616,Lacuna Data Collectors,5
1108,2024-08-26T12:37:22.596+03:00,sarah_mwangi,cropland_agroforestry,134,4,Acacia,Acacia,etbaica,no,65,1000,530,1724665099611.jpg,1724665119536.jpg,1724665140161.jpg,1724665161579.jpg,1724665169914.jpg, ,-0.0160585,37.7826909,1072.9,4.94, ,uuid:0fd5a9e8-c28c-4037-a7db-5e435bdbd073,616,Lacuna Data Collectors,5
6124,2024-10-10T17:54:09.019+03:00,david_makori,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,85,1050,520,1728572114807.jpg,1728572129329.jpg,1728572140202.jpg,1728572146715.jpg,1728572161371.jpg, ,-0.9161252,35.108582,1773,4.9, ,uuid:df2d31c6-46c8-403f-ad8b-c216b55e9d39,616,Lacuna Data Collectors,5
6123,2024-10-10T17:56:38.931+03:00,david_makori,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,75,950,520,1728572384573.jpg,1728572392629.jpg,1728572399582.jpg,1728572407670.jpg,1728572417416.jpg, ,-0.9164557,35.1096278,1773,4.82, ,uuid:7b61014e-b4fa-424c-aabf-c204082cc6fd,616,Lacuna Data Collectors,5
6127,2024-10-10T17:46:28.428+03:00,david_makori,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,65,950,520,1728571634263.jpg,1728571647021.jpg,1728571654662.jpg,1728571661734.jpg,1728571670570.jpg, ,-0.9169269,35.1081832,1768.1,4.125, ,uuid:34a3788f-460e-4aef-843a-d9f0163699ee,616,Lacuna Data Collectors,5
6083,2024-10-12T12:16:28.464+03:00,henry_oindi,pasture_agroforestry,164,1,Acacia,Acacia,nilotica,no,35,630,470,1728724630080.jpg,1728724636264.jpg,1728724642309.jpg,1728724648709.jpg,1728724656149.jpg, ,-1.1064183,35.8932667,1917.2,4.9, ,uuid:2a52d99c-c6e5-4297-8e5d-732faeabd697,616,Lacuna Data Collectors,5
1107,2024-08-26T12:38:19.148+03:00,judy_akinyi,cropland_agroforestry,134,4,Acacia,Acacia,etbaica,no,100,1350,450,1724665194367.jpg,1724665201607.jpg,1724665227450.jpg,1724665235763.jpg,1724665246493.jpg, ,-0.0159407,37.7828099,1060.2,4.5, ,uuid:6546ca1e-263d-423b-af87-3a04928eeb6c,616,Lacuna Data Collectors,5
6122,2024-10-10T18:01:31.126+03:00,david_makori,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,52,850,450,1728572528915.jpg,1728572537888.jpg,1728572549775.jpg,1728572561235.jpg,1728572571561.jpg, ,-0.916609,35.10959,1773.2,4.94, ,uuid:e85d2e15-6534-48f3-94ed-c6c245fe1c02,616,Lacuna Data Collectors,5
6077,2024-10-12T15:35:30.342+03:00,henry_oindi,natural_forest_agroforestry,162,1,Acacia,Acacia,nilotica,no,47,700,450,1728736561322.jpg,1728736568066.jpg,1728736577687.jpg,1728736584453.jpg,1728736594674.jpg, ,-1.2831034,35.9732266,1738.8,4.9, ,uuid:d04c1c68-a97d-464d-a544-7cfc389126ad,616,Lacuna Data Collectors,5
1118,2024-08-27T14:38:29.560+03:00,judy_akinyi,natural_forest_agroforestry,145,4,Acacia,Acacia,mellifera,no,35,400,450,1724758797006.jpg,1724758806544.jpg,1724758819674.jpg,1724758849633.jpg,1724758857694.jpg, ,-0.8028834,37.6715401,1002.3,4.9, ,uuid:c7777579-e895-4043-ac64-4ad6e58a263e,616,Lacuna Data Collectors,5
6109,2024-10-12T15:35:34.872+03:00,david_makori,natural_forest_agroforestry,162,1,Acacia,Acacia,tortilis,no,25,550,450,1728736585598.jpg,1728736596308.jpg,1728736603588.jpg,1728736609902.jpg,1728736619140.jpg, ,-1.2826459,35.9733686,1721.7,4.866, ,uuid:0f1799ed-a68c-471b-a83c-88e84a120666,616,Lacuna Data Collectors,5
6106,2024-10-11T11:42:59.027+03:00,david_makori,cropland_agroforestry,168,1,Acacia,Acacia,tortilis,no,20,650,450,1728636345681.jpg,1728636353357.jpg,1728636361590.jpg,1728636369833.jpg,1728636381137.jpg, ,-0.8567612,35.405063,1893.8,4.86, ,uuid:293e93d9-5934-461d-a103-3d947ec9ca0c,616,Lacuna Data Collectors,5
1116,2024-08-23T13:46:22.160+03:00,roy_spenser,pasture_agroforestry,115,1,Acacia,Acacia,globium,no,10,600,450,1724410069735.jpg,1724410078993.jpg,1724410094302.jpg,1724410107897.jpg,1724410122739.jpg, ,-0.0811594,36.6310588,2158,4.3, ,uuid:15f4467e-f59a-43a6-95e3-c876e7d7e11d,616,Lacuna Data Collectors,5
6112,2024-10-10T18:04:02.235+03:00,henry_oindi,natural_forest_agroforestry,169,2,Acacia,Acacia,tortilis,no,48,700,400,1728572682275.jpg,1728572687093.jpg,1728572692377.jpg,1728572697408.jpg,1728572703500.jpg, ,-0.9168666,35.1093332,1789.9,4.6, ,uuid:be093ae0-51e9-4925-a232-0a46561b6fa8,616,Lacuna Data Collectors,5
